flow_duration,total_fwd_packets,total_bwd_packets,fin_count,syn_count,ack_count,rst_count,label
1833109,3,4,0,0,0,0,0
2184340,1,5,0,0,1,0,0
244790,3,4,0,0,0,0,0
10141790,5,0,0,0,1,0,0
1840440,3,6,0,0,0,0,0
11487459,4,0,0,0,1,0,0
45,2,0,0,0,1,0,0
431727,3,3,0,0,0,0,0
4018917,1,6,0,0,1,0,0
3297949,4,0,0,0,1,0,0
72504,3,5,0,0,0,0,0
20,13,0,0,0,0,0,0
8431845,7,5,0,0,1,0,0
1142400,3,5,0,0,0,0,0
42154,2,0,0,0,1,0,0
5611921,4,0,0,0,1,0,0
79496,3,5,0,0,0,0,0
644172,3,6,0,0,0,0,0
566822,3,6,0,0,0,0,0
99,1,1,0,0,1,0,0
1090910,3,4,0,0,0,0,0
1186,2,2,0,0,0,0,0
50085,3,4,0,0,0,0,0
78408,3,6,0,0,0,0,0
860241,3,6,0,0,0,0,0
72027004,7,9,0,0,1,0,0
1809561,3,5,0,0,0,0,0
10745657,1,5,0,0,1,0,0
81875086,8,5,0,0,1,0,0
5442686,9,6,0,0,0,0,0
2052862,5,0,0,0,1,0,0
407937,1,1,0,0,0,0,0
87622,6,6,0,0,0,0,0
427163,3,4,0,0,0,0,0
921839,3,6,0,0,0,0,0
1021734,3,7,0,0,0,0,0
5604857,4,0,0,0,1,0,0
531309,3,5,0,0,0,0,0
30594,1,1,0,0,0,0,0
967880,3,5,0,0,0,0,0
130463,3,4,0,0,0,0,0
109,2,0,0,0,1,0,0
9188150,1,6,0,0,1,0,0
7507811,4,0,0,0,1,0,0
153,2,2,0,0,0,0,0
9892344,7,4,0,0,1,0,0
1849966,3,6,0,0,0,0,0
5301489,11,15,0,0,0,0,0
73282380,9,4,0,0,1,0,0
5021902,4,0,0,0,1,0,0
23944,3,5,0,0,0,0,0
28707,3,5,0,0,0,0,0
74956665,5,9,0,0,1,0,0
1042827,3,5,0,0,0,0,0
63568158,7,2,0,1,1,0,0
1661954,3,5,0,0,0,0,0
6172049,1,6,0,1,1,0,0
47041,1,1,0,0,0,0,0
444494,3,5,0,0,0,0,0
7802878,4,0,0,0,1,0,0
1088116,3,6,0,0,0,0,0
81222786,9,7,0,0,1,0,0
102,2,0,0,0,1,0,0
189,1,1,0,0,1,0,0
1222909,3,4,0,0,0,0,0
96898693,8,4,0,0,1,0,0
9932733,4,0,0,0,1,0,0
283394,6,5,0,0,0,0,0
6003848,4,0,0,0,1,0,0
218,2,2,0,0,0,0,0
66,1,1,0,0,1,0,0
99335,3,1,0,0,1,0,0
366992,6,6,0,0,0,0,0
47046,1,1,0,0,0,0,0
5798862,5,0,0,0,1,0,0
87883,1,1,0,0,0,0,0
373627,3,6,0,0,0,0,0
11389504,5,0,0,0,1,0,0
13591,3,4,0,0,0,0,0
869346,3,6,0,0,0,0,0
5212184,7,4,0,0,0,0,0
23911,2,2,0,0,0,0,0
2034017,4,0,0,0,1,0,0
11077984,4,0,0,0,1,0,0
6066371,1,6,0,0,1,0,0
10775754,5,0,0,0,1,0,0
8320678,4,0,0,0,1,0,0
391668,4,5,0,0,0,0,0
94310,4,5,0,0,0,0,0
60408,1,1,0,0,0,0,0
1429254,3,6,0,0,0,0,0
8276806,1,5,0,0,1,0,0
831861,3,6,0,0,0,0,0
24041633,1,5,0,0,1,0,0
427506,3,4,0,0,0,0,0
10008496,7,6,0,0,1,0,0
55265,3,6,0,0,0,0,0
1852794,3,6,0,0,0,0,0
3,2,0,1,0,0,0,0
198,2,2,0,0,0,0,0
5159875,5,0,0,0,1,0,0
73854944,8,4,0,0,1,0,0
23252,1,1,0,0,0,0,0
6990946,1,6,0,0,1,0,0
71675383,7,9,0,0,1,0,0
486477,5,2,0,0,0,0,0
5064181,6,4,0,0,0,0,0
234,2,2,0,0,0,0,0
157,2,2,0,0,0,0,0
71647,2,2,0,0,0,0,0
4087914,4,0,0,0,1,0,0
10860948,11,7,0,0,0,0,0
100220860,8,5,0,0,1,0,0
6469,2,4,0,0,0,0,0
7339054,1,5,0,0,1,0,0
272959,22,27,0,0,0,0,0
8681025,1,6,0,0,1,0,0
93878110,8,5,0,0,1,0,0
145,2,2,0,0,0,0,0
1806976,3,5,0,0,0,0,0
259,2,2,0,0,0,0,0
1333970,41,42,0,0,0,0,0
801997,3,5,0,0,0,0,0
10661223,1,6,0,0,1,0,0
1335226,41,44,0,0,0,0,0
5583448,9,9,0,0,0,0,0
9630127,1,5,0,1,1,0,0
1825112,3,5,0,0,0,0,0
80886874,8,10,0,0,1,0,0
6035760,5,0,0,0,1,0,0
115508482,21,20,0,0,0,0,0
125947,1,1,0,0,0,0,0
1120739,3,6,0,0,0,0,0
3993928,5,0,0,0,1,0,0
9073664,6,6,0,0,0,0,0
247103,3,6,0,0,0,0,0
83816736,6,10,0,0,1,0,0
10628714,4,0,0,0,1,0,0
4807870,5,0,0,0,1,0,0
9154620,5,0,0,0,1,0,0
1400663,3,5,0,0,0,0,0
132,2,0,0,0,1,0,0
8594787,5,0,0,0,1,0,0
175,2,2,0,0,0,0,0
10922601,4,0,0,0,1,0,0
38507,3,5,0,0,0,0,0
719498,3,6,0,0,0,0,0
61258,2,2,0,0,0,0,0
379338,3,5,0,0,0,0,0
1961146,4,0,0,0,1,0,0
1155330,3,6,0,0,0,0,0
6872813,4,0,0,0,1,0,0
20726548,17,15,0,0,0,0,0
8017258,1,5,0,0,1,0,0
7950772,5,0,0,0,1,0,0
5426834,3,0,0,0,1,0,0
81833711,5,9,0,0,1,0,0
76869197,8,4,0,0,1,0,0
9291759,4,0,0,0,1,0,0
71394352,8,6,0,0,1,0,0
24096,3,6,0,0,0,0,0
